AnalyzedText	Analysis	Sequence	TextDeformation	AnalysisRecord	ExemplarUrn
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.13@φαινομένη[1]	urn:cite:hmt:tokentypes.lexical	102	φαινομένη	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_102.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.13.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.13@λήθεσκεν[1]	urn:cite:hmt:tokentypes.lexical	103	λήθεσκεν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_103.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.13.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.13@ὑπειρ[1]	urn:cite:hmt:tokentypes.lexical	104	ὑπειρ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_104.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.13.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.13@ἅλα[1]	urn:cite:hmt:tokentypes.lexical	105	ἅλα	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_105.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.13.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.13@τ'[1]	urn:cite:hmt:tokentypes.lexical	106	τε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_106.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.13.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.13@ἠϊόνας[1]	urn:cite:hmt:tokentypes.lexical	107	ἠϊόνας	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_107.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.13.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.13@τε[1]	urn:cite:hmt:tokentypes.lexical	108	τε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_108.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.13.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.13@·[1]	urn:cite:hmt:tokentypes.punctuation	109	·	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_109.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.13.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@ἀλλ'[1]	urn:cite:hmt:tokentypes.lexical	110	ἂλλ'	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_110.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@ὅ[1]	urn:cite:hmt:tokentypes.lexical	111	ὅ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_111.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@γ'[1]	urn:cite:hmt:tokentypes.lexical	112	γε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_112.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@ἐπεὶ[1]	urn:cite:hmt:tokentypes.lexical	113	ἐπεὶ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_113.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@ζεύξειεν[1]	urn:cite:hmt:tokentypes.lexical	114	ζεύξειεν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_114.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@ὑφ'[1]	urn:cite:hmt:tokentypes.lexical	115	ὑπὸ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_115.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@ἅρμασιν[1]	urn:cite:hmt:tokentypes.lexical	116	ἅρμασιν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_116.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@ὠκέας[1]	urn:cite:hmt:tokentypes.lexical	117	ὠκέας	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_117.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@ἵππους[1]	urn:cite:hmt:tokentypes.lexical	118	ἵππους	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_118.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.9
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.14@·[1]	urn:cite:hmt:tokentypes.punctuation	119	·	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_119.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.14.10
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.15@Ἕκτορα[1]	urn:cite:hmt:pers.pers172	120	Ἕκτορα	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_120.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.15.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.15@δ'[1]	urn:cite:hmt:tokentypes.lexical	121	δέ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_121.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.15.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.15@ἕλκεσθαι[1]	urn:cite:hmt:tokentypes.lexical	122	ἕλκεσθαι	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_122.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.15.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.15@δησάσκετο[1]	urn:cite:hmt:tokentypes.lexical	123	δησάσκετο	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_123.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.15.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.15@δίφρου[1]	urn:cite:hmt:tokentypes.lexical	124	δίφρου	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_124.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.15.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.15@ὄπισθεν[1]	urn:cite:hmt:tokentypes.lexical	125	ὄπισθεν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_125.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.15.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.15@·[1]	urn:cite:hmt:tokentypes.punctuation	126	·	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_126.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.15.7
